t_start_s,t_end_s,duration_s,energy_nJ
9.81306,9.95594,0.1428799999999999,406187.93575790944
10.15614,10.299,0.14285999999999888,406525.21797454817
10.4992,10.64206,0.14286000000000065,406437.8174091632
10.84226,10.98512,0.14286000000000065,406281.34836907923
11.18532,11.32816,0.14283999999999963,406711.30905858305
11.52836,11.67124,0.1428799999999999,406652.5141987883
11.87142,12.01428,0.14285999999999888,406338.46532785206
12.2145,12.35736,0.14286000000000065,406646.3614860496
12.55756,12.70042,0.14285999999999888,406721.4310658057
12.90062,13.04348,0.14286000000000065,406404.69071221957
13.24368,13.38654,0.14286000000000065,406175.29567097756
13.58674,13.7296,0.14285999999999888,406139.3721238605
13.9298,14.07266,0.14286000000000065,406532.96441072033
14.27286,14.41572,0.14286000000000065,406622.5337749299
14.61592,14.75878,0.14286000000000065,406018.0654004167
14.95898,15.10184,0.14285999999999888,406249.16182364174
15.30204,15.4449,0.14286000000000065,406347.4820787035
15.6451,15.78796,0.14286000000000065,406378.8263010746
15.98818,16.13104,0.14285999999999888,406184.5456831988
16.33124,16.4741,0.14285999999999888,406583.70378891786
16.6743,16.81716,0.14286000000000243,407064.2246399083
17.01736,17.16022,0.14285999999999888,406983.06138858874
17.36042,17.50328,0.14285999999999888,406400.82362805266
17.70348,17.84634,0.14286000000000243,406300.5797169163
18.04654,18.1894,0.14285999999999888,406580.47510077164
18.3896,18.53246,0.14285999999999888,406394.4230298394
18.73266,18.87552,0.14286000000000243,406435.3775093332
19.0757,19.21856,0.14285999999999888,406614.05954508786
19.41876,19.56164,0.14288000000000167,406685.72667753225
19.76184,19.9047,0.14285999999999888,406355.792926614
20.1049,20.24776,0.14285999999999888,409278.1173530856
20.44798,20.59084,0.14285999999999888,408709.34665667725
20.79104,20.9339,0.14286000000000243,406280.62429139466
21.1341,21.27698,0.14287999999999812,406244.95803144586
21.47718,21.62004,0.14285999999999888,407508.93412389664
21.82024,21.9631,0.14286000000000243,405903.1995199622
22.1633,22.30616,0.14285999999999888,404836.6383719159
22.50636,22.64922,0.14285999999999888,405037.1448602419
22.84942,22.9923,0.14288000000000167,404857.9171439612
23.1925,23.33536,0.14286000000000243,406252.8290878983
23.53556,23.67842,0.14285999999999888,406730.75583995145
23.87862,24.02148,0.14285999999999888,407463.4193908308
24.22168,24.36454,0.14286000000000243,407516.26197481493
24.56474,24.7076,0.14285999999999888,407561.7629405946
24.9078,25.05066,0.14285999999999888,407149.7205598163
25.25086,25.39372,0.14285999999999888,406687.4714288757
25.59392,25.73678,0.14285999999999888,406134.5646460434
25.93698,26.07984,0.14286000000000243,406328.608014156
26.28004,26.4229,0.14285999999999888,406604.9079899566
26.6231,26.76596,0.14285999999999888,406245.19401694427
26.96616,27.10902,0.14286000000000243,406070.62563533126
27.30922,27.45208,0.14285999999999888,406298.4353140839
27.6523,27.79516,0.14285999999999888,406266.6587647878
27.99536,28.13822,0.14285999999999888,406397.72400957264
28.33842,28.48128,0.14286000000000243,406451.36144710623
28.68148,28.82436,0.14287999999999812,406512.81781493354
29.02454,29.16742,0.14288000000000167,406311.49024702393
29.36762,29.51048,0.14286000000000243,406317.1923137277
29.71068,29.85354,0.14285999999999888,405962.3555978666
30.05374,30.1966,0.14285999999999888,405617.58345690457
30.3968,30.53966,0.14286000000000243,405644.7219941776
30.73986,30.88272,0.14285999999999888,406359.2576002598
31.08292,31.22578,0.14285999999999888,406661.41646680265
31.42598,31.56884,0.14286000000000243,406657.15362410917
31.76906,31.91192,0.14285999999999888,406637.6207722243
32.11212,32.25498,0.14286000000000598,406471.80069239053
32.45518,32.59804,0.14285999999999888,406079.9575201155
32.79824,32.9411,0.14285999999999888,406094.2514659722
33.1413,33.28416,0.14285999999999888,406321.96516263054
33.48436,33.62722,0.14285999999999888,406239.6416626727
33.827420000000004,33.97028,0.14285999999999888,406246.38234264136
34.17048,34.31334,0.14285999999999888,406400.1879584851
34.51354,34.6564,0.14285999999999888,405663.6768346555
34.8566,34.99946,0.14285999999999888,405033.5446768323
35.19966,35.34252,0.14285999999999888,404991.38222307625
35.54272,35.68558,0.14285999999999888,405090.6107481453
35.88578,36.02864,0.14286000000000598,404657.1636898581
36.22884,36.3717,0.14285999999999888,407186.1928258943
36.5719,36.71476,0.14285999999999888,408543.04174891446
36.91496,37.05782,0.14285999999999888,407880.382491263
37.25802,37.40086,0.14283999999999963,407106.01002675504
37.60106,37.74392,0.14286000000000598,406825.1722329408
37.94412,38.08696,0.14283999999999963,406703.5149992364
38.28716,38.43002,0.14285999999999888,406540.68345203006
38.6302,38.77306,0.14285999999999888,406427.6389824101
38.97326,39.11612,0.14285999999999888,406506.0727740518
39.31632,39.45918,0.14286000000000598,406409.05469657254
39.65938,39.80226,0.14287999999999812,406502.4488931374
40.00244,40.1453,0.14285999999999888,406568.51891194243
40.3455,40.48836,0.14285999999999888,406477.95656694495
40.68856,40.83142,0.14285999999999888,406472.57555973425
41.0316,41.17446,0.14286000000000598,406589.52488099335
41.37464,41.5175,0.14285999999999888,406563.4554228649
41.7177,41.86056,0.14285999999999888,406488.22225629346
42.06076,42.20362,0.14285999999999888,405658.1775797426
42.40382,42.54668,0.14285999999999888,408484.15229002974
42.74686,42.88972,0.14285999999999888,413193.80327359797
43.08992,43.23278,0.14285999999999888,407468.7396106186
43.43296,43.57582,0.14285999999999888,406525.8938772497
43.77602,43.91886,0.14283999999999963,406454.1348721768
