"Timestamp","Value"
0.916510,0
0.928860,1
0.928880,0
0.928900,1
0.928920,0
0.928960,1
0.928980,0
0.929020,1
0.929040,0
0.929060,1
0.929080,0
0.929120,1
0.929140,0
0.929160,1
0.929200,0
0.929220,1
0.929240,0
0.929280,1
0.929300,0
0.929320,1
0.929340,0
0.929380,1
0.929400,0
0.929440,1
0.929460,0
0.929480,1
0.929500,0
0.929540,1
0.929560,0
0.929600,1
0.929620,0
0.929640,1
0.929660,0
0.929700,1
0.929720,0
0.929740,1
0.929780,0
0.929800,1
0.929820,0
0.929860,1
0.929880,0
0.929900,1
0.929940,0
0.929960,1
0.929980,0
0.930020,1
0.930040,0
0.930060,1
0.930080,0
0.930120,1
0.930140,0
0.930180,1
0.930200,0
0.930220,1
0.930240,0
0.930280,1
0.930300,0
0.930340,1
0.930360,0
0.930380,1
0.930400,0
0.930440,1
0.930460,0
0.930480,1
0.930520,0
0.930540,1
0.930560,0
0.930600,1
0.930620,0
0.930640,1
0.930680,0
0.930700,1
0.930720,0
0.930760,1
0.930780,0
0.930800,1
0.930820,0
0.930860,1
0.930880,0
0.930920,1
0.930940,0
0.930960,1
0.930980,0
0.931020,1
0.931040,0
0.931080,1
0.931100,0
0.931120,1
0.931140,0
0.931180,1
0.931200,0
0.931220,1
0.931260,0
0.931280,1
0.931300,0
0.931340,1
0.931360,0
0.931380,1
0.931420,0
0.931440,1
0.931460,0
0.931500,1
0.931520,0
0.931540,1
0.931560,0
0.931600,1
0.931620,0
0.931660,1
0.931680,0
0.931700,1
0.931720,0
0.931760,1
0.931780,0
0.931820,1
0.931840,0
0.931860,1
0.931880,0
0.931920,1
0.931940,0
0.931960,1
0.932000,0
0.932020,1
0.932040,0
