"Timestamp","Value"
0.916520,0
0.916540,5.4518330014414264e-12
0.916560,1.081990420870069e-11
0.916580,1.6125440015457571e-11
0.916600,2.1437811341861057e-11
0.916620,2.6810927536442051e-11
0.916640,3.2235897702371912e-11
0.916660,3.771364281419665e-11
0.916680,4.3156524124141372e-11
0.916700,4.8550665572596094e-11
0.916720,5.394865939807561e-11
0.916740,5.9449682400251434e-11
0.916760,6.5006963753451912e-11
0.916780,7.0389009973344711e-11
0.916800,7.5750600404313043e-11
0.916820,8.1075743461648632e-11
0.916840,8.6449706901071811e-11
0.916860,9.1782825054704324e-11
0.916880,9.7086906963441941e-11
0.916900,1.0243147812111097e-10
0.916920,1.077590513482897e-10
0.916940,1.1309518368862984e-10
0.916960,1.1846545449871984e-10
0.916980,1.2390606247613e-10
0.917000,1.2933063068582366e-10
0.917020,1.3470558139185112e-10
0.917040,1.4002384689067387e-10
0.917060,1.453911491100573e-10
0.917080,1.5072466921992602e-10
0.917100,1.5611199778504669e-10
0.917120,1.6151475073355768e-10
0.917140,1.6691342526529399e-10
0.917160,1.7235262526406184e-10
0.917180,1.7777602317639525e-10
0.917200,1.8308506728822575e-10
0.917220,1.8837595804749679e-10
0.917240,1.9371553854499428e-10
0.917260,1.9896917834153607e-10
0.917280,2.0412234589457514e-10
0.917300,2.0922815731157446e-10
0.917320,2.1438107586517518e-10
0.917340,2.1954276469639609e-10
0.917360,2.2470699752577477e-10
0.917380,2.2992052027903913e-10
0.917400,2.3516866203863176e-10
0.917420,2.4050393031858321e-10
0.917440,2.4588076307231357e-10
0.917460,2.51305514959515e-10
0.917480,2.5673067721072586e-10
0.917500,2.6228401531827537e-10
0.917520,2.6760787392656008e-10
0.917540,2.729942921885393e-10
0.917560,2.7837196248583499e-10
0.917580,2.8382146330032915e-10
0.917600,2.8922636346477603e-10
0.917620,2.946199726365093e-10
0.917640,3.0003535470718315e-10
0.917660,3.0544777659492362e-10
0.917680,3.1086391568856522e-10
0.917700,3.1629411160894152e-10
0.917720,3.2173807752163463e-10
0.917740,3.2741430040914569e-10
0.917760,3.329780777373041e-10
0.917780,3.3854670764412733e-10
0.917800,3.441391438375124e-10
0.917820,3.4976316221420555e-10
0.917840,3.5532150941435248e-10
0.917860,3.6091294896323235e-10
0.917880,3.665602115991836e-10
0.917900,3.7220813327520674e-10
0.917920,3.7780888863683993e-10
0.917940,3.8342014013323937e-10
0.917960,3.8904843159899534e-10
0.917980,3.9478288672398779e-10
0.918000,4.0054819190926441e-10
0.918020,4.0615393437393428e-10
0.918040,4.1178987367958249e-10
0.918060,4.1743761555860854e-10
0.918080,4.231063671694655e-10
0.918100,4.2871983443749039e-10
0.918120,4.3426999570025757e-10
0.918140,4.3981512523411464e-10
0.918160,4.4534996818078477e-10
0.918180,4.5078532129991804e-10
0.918200,4.5611607266538262e-10
0.918220,4.6138769410188417e-10
0.918240,4.6668198192492127e-10
0.918260,4.7182918804335516e-10
0.918280,4.7691626952857609e-10
0.918300,4.8193355323746808e-10
0.918320,4.8701131664630441e-10
0.918340,4.9210389972560939e-10
0.918360,4.9724977741587088e-10
0.918380,5.0237525041059903e-10
0.918400,5.0751465540896688e-10
0.918420,5.1262307614605458e-10
0.918440,5.1778797998041332e-10
0.918460,5.2308171774105487e-10
0.918480,5.2854371315333998e-10
0.918500,5.340201149617012e-10
0.918520,5.3949913805505885e-10
0.918540,5.4507419990841307e-10
0.918560,5.5065409817163732e-10
0.918580,5.5620425232013482e-10
0.918600,5.6183705035234904e-10
0.918620,5.674740587387027e-10
0.918640,5.7309703584501736e-10
0.918660,5.7876754985449635e-10
0.918680,5.8434844605572943e-10
0.918700,5.8980132808857089e-10
0.918720,5.9507450722675356e-10
0.918740,6.0045107319537145e-10
0.918760,6.057106540538371e-10
0.918780,6.1093771623240576e-10
0.918800,6.16202983332591e-10
0.918820,6.2142489575004829e-10
0.918840,6.2667442091171528e-10
0.918860,6.3190706067770305e-10
0.918880,6.3714466329353553e-10
0.918900,6.4235739603949091e-10
0.918920,6.4753251693521941e-10
0.918940,6.5266335085551778e-10
0.918960,6.5777242254828003e-10
0.918980,6.6303904588696447e-10
0.919000,6.6820802652121834e-10
0.919020,6.7347028137495125e-10
0.919040,6.7878690897487111e-10
0.919060,6.8410448697654328e-10
0.919080,6.8938016128312385e-10
0.919100,6.9471043793277615e-10
0.919120,7.000814570346848e-10
0.919140,7.0548441403338481e-10
0.919160,7.1089946238013608e-10
0.919180,7.1636465015924646e-10
0.919200,7.2185744389167271e-10
0.919220,7.2720581406934404e-10
0.919240,7.3264776211645874e-10
0.919260,7.3789412595538636e-10
0.919280,7.4316885859136375e-10
0.919300,7.4847765111674869e-10
0.919320,7.5381068745628001e-10
0.919340,7.5916206050250268e-10
0.919360,7.6455384712769763e-10
0.919380,7.7002397350346051e-10
0.919400,7.7541541379307301e-10
0.919420,7.8086680894355394e-10
0.919440,7.8633061461409353e-10
0.919460,7.917698728205223e-10
0.919480,7.9736387932724847e-10
0.919500,8.0284848906255018e-10
0.919520,8.0821434288130462e-10
0.919540,8.1365495085871471e-10
0.919560,8.1908434351337048e-10
0.919580,8.2446966262068601e-10
0.919600,8.2981463993847787e-10
0.919620,8.3514165792924673e-10
0.919640,8.404961001360789e-10
0.919660,8.4591287789711119e-10
0.919680,8.5145777395357278e-10
0.919700,8.5697848408017314e-10
0.919720,8.6250530859817655e-10
0.919740,8.6820621218066669e-10
0.919760,8.7376243350768675e-10
0.919780,8.7925861557272988e-10
0.919800,8.8468297520497195e-10
0.919820,8.9002335088379278e-10
0.919840,8.9530589046060216e-10
0.919860,9.0055244509130719e-10
0.919880,9.0578357113473539e-10
