t_start_s,t_end_s,duration_s,energy_nJ
9.83074,9.9736,0.14285999999999888,401578.6420996198
10.17382,10.3167,0.14288000000000167,401225.959991568
10.51692,10.6598,0.1428799999999999,401169.5407400756
10.86002,11.0029,0.1428799999999999,401062.5481512323
11.20312,11.34598,0.14286000000000065,400877.28428188164
11.5462,11.68908,0.1428799999999999,401043.48209220136
11.8893,12.03218,0.1428799999999999,401000.2396721313
12.2324,12.37528,0.1428799999999999,401253.7769088447
12.57548,12.71836,0.1428799999999999,401273.4830053442
12.91858,13.06146,0.1428799999999999,401745.8748002464
13.26168,13.40454,0.14286000000000065,401918.74139010336
13.60476,13.74762,0.14285999999999888,611345.0374919799
13.94784,14.0907,0.14286000000000065,692620.3338615563
14.29092,14.4338,0.1428799999999999,510594.18898540724
14.634,14.77688,0.1428799999999999,429299.38293527014
14.9771,15.11996,0.14286000000000065,402711.78833906946
15.32018,15.46304,0.14285999999999888,400857.8776754336
15.66326,15.80614,0.1428799999999999,399883.2685407187
16.00636,16.14924,0.14287999999999812,399231.82233701006
16.34944,16.49232,0.14287999999999812,399224.0274511156
16.69254,16.83542,0.14287999999999812,399414.3743510245
17.03564,17.1785,0.14285999999999888,399822.086838529
17.37872,17.5216,0.14287999999999812,399496.7519468494
17.72182,17.8647,0.14287999999999812,392173.04246266023
18.06494,18.20782,0.14288000000000167,395820.95053279545
18.40804,18.55092,0.14288000000000167,397534.8124280563
18.75114,18.89402,0.14288000000000167,398733.78483578464
19.09424,19.23712,0.14288000000000167,399609.0914146035
19.43734,19.58022,0.14288000000000167,400169.9173124489
19.78044,19.92332,0.14288000000000167,400708.43335008074
20.12356,20.26644,0.14287999999999812,401524.9068569268
20.46668,20.60956,0.14287999999999812,401462.9404875336
20.80978,20.95268,0.14290000000000092,401387.82994588313
21.1529,21.29578,0.14288000000000167,401232.1738689199
21.49602,21.6389,0.14287999999999812,401215.43247717054
21.83912,21.98202,0.14289999999999736,400547.1664131473
22.18224,22.32512,0.14287999999999812,400904.45821870735
22.52534,22.66822,0.14288000000000167,400952.9031277608
22.86846,23.01134,0.14288000000000167,401033.7535385029
23.21156,23.35444,0.14288000000000167,400869.8097546571
23.55466,23.69754,0.14288000000000167,400955.74032282224
23.89776,24.04064,0.14287999999999812,401076.8202342889
24.24086,24.38374,0.14287999999999812,401236.39999887487
24.58396,24.72682,0.14285999999999888,401175.04242108157
24.92704,25.06992,0.14287999999999812,401206.0025334233
25.27012,25.413,0.14288000000000167,401503.4409775391
25.61322,25.7561,0.14288000000000167,401483.015003613
25.95632,26.0992,0.14287999999999812,401898.09775677015
26.2994,26.44228,0.14288000000000167,401564.66630752955
26.64252,26.7854,0.14287999999999812,401308.38926880294
26.98562,27.12848,0.14285999999999888,401089.9921739361
27.3287,27.47158,0.14287999999999812,401126.1585284838
27.6718,27.81468,0.14287999999999812,401383.68895043136
28.0149,28.15778,0.14287999999999812,401013.83102590626
28.358,28.50086,0.14285999999999888,401153.8801761243
28.70108,28.84396,0.14287999999999812,401152.28945388045
29.04418,29.18706,0.14287999999999812,401113.3184237279
29.38728,29.53016,0.14287999999999812,401129.75674912904
29.73038,29.87326,0.14287999999999812,400792.84425357985
30.07348,30.21636,0.14288000000000167,400893.03153799754
30.41658,30.55944,0.14285999999999888,400927.19660372287
30.75968,30.90256,0.14288000000000167,401432.05141881184
31.10278,31.24568,0.14290000000000092,401549.2255706314
31.4459,31.58878,0.14287999999999812,401108.6852801841
31.789,31.9319,0.14289999999999736,401157.7235627784
32.13212,32.275,0.14287999999999812,401086.7818398268
32.47522,32.6181,0.14287999999999812,401130.8593093279
32.81834,32.9612,0.14285999999999888,401059.91075978614
33.16142,33.3043,0.14287999999999812,401230.85889498284
33.50452,33.6474,0.14287999999999812,401141.99736387114
33.84762,33.9905,0.14287999999999812,401074.5271411586
34.19074,34.33362,0.14288000000000523,400898.52546109556
34.53384,34.6767,0.14285999999999888,400853.7286380246
34.87692,35.0198,0.14287999999999812,400953.0344349235
35.22002,35.3629,0.14288000000000523,401292.10809479415
35.56312,35.70598,0.14285999999999888,401322.95109330636
35.9062,36.04908,0.14287999999999812,400911.3040845757
36.2493,36.39218,0.14288000000000523,401255.6860223512
36.59242,36.7353,0.14288000000000523,401133.63516052143
36.93552,37.0784,0.14288000000000523,401139.8626188883
37.27864,37.4215,0.14285999999999888,400808.9507929912
37.62174,37.7646,0.14285999999999888,400921.20592714177
37.96482,38.1077,0.14287999999999812,401043.8911733088
38.30792,38.4508,0.14287999999999812,400915.2823942579
38.65102,38.7939,0.14287999999999812,401092.9907765097
38.9941,39.13698,0.14287999999999812,401342.93737587164
39.3372,39.48008,0.14287999999999812,401173.42432260746
39.6803,39.82318,0.14287999999999812,401431.0898585102
40.0234,40.16626,0.14285999999999888,401283.58443499875
40.36648,40.50936,0.14287999999999812,401247.6155720511
40.70958,40.85244,0.14285999999999888,400950.56052784424
41.05266,41.19554,0.14287999999999812,400840.67206595495
41.39576,41.53862,0.14285999999999888,401130.9341853378
41.73884,41.88172,0.14287999999999812,401598.627187762
42.08194,42.2248,0.14285999999999888,400899.05281550245
42.42502,42.5679,0.14287999999999812,401405.5715827146
42.7681,42.91098,0.14288000000000523,401415.82042678207
43.1112,43.25408,0.14288000000000523,401148.0994150134
43.4543,43.59718,0.14287999999999812,401582.6739440522
43.7974,43.94028,0.14287999999999812,401263.6971333886
